Player_Name,Player_Type,Role,Runs,Balls_Faced,Strike_Rate,Wickets_Taken,Overs_Bowled,Runs_Conceded,Opponent_Team,Pitch_Type,Weather
Pathum Nissanka,Batsman,Batsman,52,56,92.85714286,0,0,0,Australia,Spin Friendly,Dry
Pathum Nissanka,Batsman,Batsman,18,20,90,0,0,0,India,Bowling Friendly,Hot
Pathum Nissanka,Batsman,Batsman,48,54,88.88888889,0,0,0,England,Balanced,Humid
Pathum Nissanka,Batsman,Batsman,38,42,90.47619048,0,0,0,England,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,58,66,87.87878788,0,0,0,Bangladesh,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,30,33,90.90909091,0,0,0,South Africa,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,27,31,87.09677419,0,0,0,Pakistan,Balanced,Humid
Pathum Nissanka,Batsman,Batsman,40,44,90.90909091,0,0,0,Australia,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,49,52,94.23076923,0,0,0,Pakistan,Bowling Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,44,51,86.2745098,0,0,0,Australia,Spin Friendly,Dry
Pathum Nissanka,Batsman,Batsman,86,98,87.75510204,0,0,0,Pakistan,Balanced,Humid
Pathum Nissanka,Batsman,Batsman,42,47,89.36170213,0,0,0,Pakistan,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,44,48,91.66666667,0,0,0,South Africa,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,34,39,87.17948718,0,0,0,South Africa,Bowling Friendly,Hot
Pathum Nissanka,Batsman,Batsman,18,20,90,0,0,0,South Africa,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,28,30,93.33333333,0,0,0,India,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,61,65,93.84615385,0,0,0,Pakistan,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,46,50,92,0,0,0,England,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,50,53,94.33962264,0,0,0,Pakistan,Batting Friendly,Dry
Pathum Nissanka,Batsman,Batsman,16,17,94.11764706,0,0,0,Pakistan,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,95,102,93.1372549,0,0,0,India,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,5,5,100,0,0,0,India,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,27,30,90,0,0,0,Bangladesh,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,17,20,85,0,0,0,India,Balanced,Dry
Pathum Nissanka,Batsman,Batsman,73,78,93.58974359,0,0,0,South Africa,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,66,74,89.18918919,0,0,0,Bangladesh,Spin Friendly,Humid
Pathum Nissanka,Batsman,Batsman,36,38,94.73684211,0,0,0,Bangladesh,Bowling Friendly,Hot
Pathum Nissanka,Batsman,Batsman,21,22,95.45454545,0,0,0,England,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,41,44,93.18181818,0,0,0,India,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,61,66,92.42424242,0,0,0,India,Bowling Friendly,Hot
Pathum Nissanka,Batsman,Batsman,31,36,86.11111111,0,0,0,Australia,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,45,49,91.83673469,0,0,0,Bangladesh,Balanced,Dry
Pathum Nissanka,Batsman,Batsman,45,53,84.90566038,0,0,0,Pakistan,Balanced,Hot
Pathum Nissanka,Batsman,Batsman,47,50,94,0,0,0,Pakistan,Balanced,Humid
Pathum Nissanka,Batsman,Batsman,43,48,89.58333333,0,0,0,India,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,23,27,85.18518519,0,0,0,India,Balanced,Hot
Pathum Nissanka,Batsman,Batsman,26,30,86.66666667,0,0,0,England,Balanced,Dry
Pathum Nissanka,Batsman,Batsman,38,43,88.37209302,0,0,0,Australia,Spin Friendly,Humid
Pathum Nissanka,Batsman,Batsman,48,50,96,0,0,0,South Africa,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,57,65,87.69230769,0,0,0,Bangladesh,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,46,52,88.46153846,0,0,0,Pakistan,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,53,61,86.8852459,0,0,0,South Africa,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,30,34,88.23529412,0,0,0,Australia,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,55,62,88.70967742,0,0,0,England,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,58,66,87.87878788,0,0,0,Bangladesh,Bowling Friendly,Hot
Pathum Nissanka,Batsman,Batsman,48,52,92.30769231,0,0,0,South Africa,Spin Friendly,Humid
Pathum Nissanka,Batsman,Batsman,32,36,88.88888889,0,0,0,South Africa,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,20,21,95.23809524,0,0,0,South Africa,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,29,34,85.29411765,0,0,0,India,Spin Friendly,Dry
Pathum Nissanka,Batsman,Batsman,17,20,85,0,0,0,Australia,Bowling Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,33,38,86.84210526,0,0,0,Pakistan,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,42,45,93.33333333,0,0,0,Australia,Spin Friendly,Humid
Pathum Nissanka,Batsman,Batsman,52,57,91.22807018,0,0,0,England,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,26,30,86.66666667,0,0,0,South Africa,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,25,28,89.28571429,0,0,0,Australia,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,30,34,88.23529412,0,0,0,Pakistan,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,47,51,92.15686275,0,0,0,South Africa,Balanced,Humid
Pathum Nissanka,Batsman,Batsman,13,14,92.85714286,0,0,0,Bangladesh,Bowling Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,60,66,90.90909091,0,0,0,Pakistan,Balanced,Dry
Pathum Nissanka,Batsman,Batsman,42,45,93.33333333,0,0,0,Pakistan,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,40,42,95.23809524,0,0,0,Bangladesh,Spin Friendly,Dry
Pathum Nissanka,Batsman,Batsman,25,27,92.59259259,0,0,0,Bangladesh,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,27,31,87.09677419,0,0,0,Bangladesh,Batting Friendly,Dry
Pathum Nissanka,Batsman,Batsman,45,52,86.53846154,0,0,0,India,Balanced,Hot
Pathum Nissanka,Batsman,Batsman,42,48,87.5,0,0,0,South Africa,Bowling Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,47,50,94,0,0,0,India,Bowling Friendly,Hot
Pathum Nissanka,Batsman,Batsman,50,54,92.59259259,0,0,0,India,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,40,44,90.90909091,0,0,0,Pakistan,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,51,56,91.07142857,0,0,0,England,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,46,54,85.18518519,0,0,0,South Africa,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,25,27,92.59259259,0,0,0,Australia,Batting Friendly,Dry
Pathum Nissanka,Batsman,Batsman,49,55,89.09090909,0,0,0,England,Spin Friendly,Humid
Pathum Nissanka,Batsman,Batsman,11,12,91.66666667,0,0,0,Australia,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,52,61,85.24590164,0,0,0,Australia,Bowling Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,44,47,93.61702128,0,0,0,India,Bowling Friendly,Hot
Pathum Nissanka,Batsman,Batsman,17,19,89.47368421,0,0,0,South Africa,Balanced,Dry
Pathum Nissanka,Batsman,Batsman,56,65,86.15384615,0,0,0,Australia,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,52,56,92.85714286,0,0,0,Bangladesh,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,60,68,88.23529412,0,0,0,England,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,63,72,87.5,0,0,0,South Africa,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,44,51,86.2745098,0,0,0,England,Bowling Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,54,60,90,0,0,0,Australia,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,62,66,93.93939394,0,0,0,England,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,53,61,86.8852459,0,0,0,Bangladesh,Batting Friendly,Dry
Pathum Nissanka,Batsman,Batsman,91,101,90.0990099,0,0,0,South Africa,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,36,40,90,0,0,0,Australia,Spin Friendly,Humid
Pathum Nissanka,Batsman,Batsman,6,6,100,0,0,0,England,Balanced,Humid
Pathum Nissanka,Batsman,Batsman,61,68,89.70588235,0,0,0,Pakistan,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,37,43,86.04651163,0,0,0,England,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,30,35,85.71428571,0,0,0,England,Bowling Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,59,68,86.76470588,0,0,0,Bangladesh,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,25,26,96.15384615,0,0,0,Australia,Balanced,Dry
Pathum Nissanka,Batsman,Batsman,22,23,95.65217391,0,0,0,Bangladesh,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,48,53,90.56603774,0,0,0,Australia,Balanced,Humid
Pathum Nissanka,Batsman,Batsman,62,68,91.17647059,0,0,0,Australia,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,47,52,90.38461538,0,0,0,England,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,48,54,88.88888889,0,0,0,India,Bowling Friendly,Hot
Pathum Nissanka,Batsman,Batsman,15,16,93.75,0,0,0,Australia,Batting Friendly,Dry
Pathum Nissanka,Batsman,Batsman,27,30,90,0,0,0,England,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,20,21,95.23809524,0,0,0,India,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,67,78,85.8974359,0,0,0,Pakistan,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,34,37,91.89189189,0,0,0,India,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,19,21,90.47619048,0,0,0,South Africa,Spin Friendly,Dry
Pathum Nissanka,Batsman,Batsman,51,56,91.07142857,0,0,0,Australia,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,52,61,85.24590164,0,0,0,India,Balanced,Hot
Pathum Nissanka,Batsman,Batsman,33,36,91.66666667,0,0,0,Pakistan,Spin Friendly,Humid
Pathum Nissanka,Batsman,Batsman,41,44,93.18181818,0,0,0,India,Balanced,Hot
Pathum Nissanka,Batsman,Batsman,28,30,93.33333333,0,0,0,Pakistan,Spin Friendly,Humid
Pathum Nissanka,Batsman,Batsman,30,34,88.23529412,0,0,0,South Africa,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,67,76,88.15789474,0,0,0,England,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,56,64,87.5,0,0,0,Bangladesh,Batting Friendly,Dry
Pathum Nissanka,Batsman,Batsman,65,72,90.27777778,0,0,0,Australia,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,29,33,87.87878788,0,0,0,England,Balanced,Dry
Pathum Nissanka,Batsman,Batsman,52,60,86.66666667,0,0,0,Australia,Spin Friendly,Dry
Pathum Nissanka,Batsman,Batsman,40,43,93.02325581,0,0,0,Australia,Balanced,Dry
Pathum Nissanka,Batsman,Batsman,29,34,85.29411765,0,0,0,England,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,49,52,94.23076923,0,0,0,Australia,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,34,36,94.44444444,0,0,0,Australia,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,38,43,88.37209302,0,0,0,England,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,39,45,86.66666667,0,0,0,Pakistan,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,47,51,92.15686275,0,0,0,Bangladesh,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,55,59,93.22033898,0,0,0,England,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,33,38,86.84210526,0,0,0,India,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,35,38,92.10526316,0,0,0,England,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,31,33,93.93939394,0,0,0,India,Batting Friendly,Dry
Pathum Nissanka,Batsman,Batsman,44,46,95.65217391,0,0,0,Bangladesh,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,31,34,91.17647059,0,0,0,England,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,50,55,90.90909091,0,0,0,India,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,50,56,89.28571429,0,0,0,Bangladesh,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,50,53,94.33962264,0,0,0,South Africa,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,24,26,92.30769231,0,0,0,India,Balanced,Dry
Pathum Nissanka,Batsman,Batsman,56,63,88.88888889,0,0,0,India,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,30,33,90.90909091,0,0,0,Bangladesh,Balanced,Dry
Pathum Nissanka,Batsman,Batsman,46,49,93.87755102,0,0,0,England,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,40,44,90.90909091,0,0,0,Pakistan,Bowling Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,41,47,87.23404255,0,0,0,Bangladesh,Batting Friendly,Dry
Pathum Nissanka,Batsman,Batsman,26,30,86.66666667,0,0,0,England,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,24,26,92.30769231,0,0,0,Pakistan,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,9,10,90,0,0,0,England,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,38,41,92.68292683,0,0,0,Australia,Batting Friendly,Dry
Pathum Nissanka,Batsman,Batsman,47,54,87.03703704,0,0,0,Pakistan,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,10,10,100,0,0,0,Pakistan,Spin Friendly,Humid
Pathum Nissanka,Batsman,Batsman,42,48,87.5,0,0,0,Bangladesh,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,46,53,86.79245283,0,0,0,Australia,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,66,73,90.4109589,0,0,0,Pakistan,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,33,35,94.28571429,0,0,0,South Africa,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,29,32,90.625,0,0,0,Bangladesh,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,52,58,89.65517241,0,0,0,South Africa,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,32,37,86.48648649,0,0,0,India,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,0,1,0,0,0,0,Pakistan,Balanced,Hot
Pathum Nissanka,Batsman,Batsman,38,40,95,0,0,0,India,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,22,23,95.65217391,0,0,0,Pakistan,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,43,46,93.47826087,0,0,0,Australia,Bowling Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,37,43,86.04651163,0,0,0,India,Balanced,Humid
Pathum Nissanka,Batsman,Batsman,39,44,88.63636364,0,0,0,Australia,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,35,39,89.74358974,0,0,0,Bangladesh,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,34,38,89.47368421,0,0,0,Bangladesh,Batting Friendly,Dry
Pathum Nissanka,Batsman,Batsman,43,48,89.58333333,0,0,0,England,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,45,52,86.53846154,0,0,0,Bangladesh,Batting Friendly,Dry
Pathum Nissanka,Batsman,Batsman,57,63,90.47619048,0,0,0,South Africa,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,61,65,93.84615385,0,0,0,England,Batting Friendly,Dry
Pathum Nissanka,Batsman,Batsman,16,17,94.11764706,0,0,0,Bangladesh,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,22,23,95.65217391,0,0,0,Australia,Spin Friendly,Dry
Pathum Nissanka,Batsman,Batsman,48,55,87.27272727,0,0,0,South Africa,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,52,59,88.13559322,0,0,0,England,Balanced,Humid
Pathum Nissanka,Batsman,Batsman,35,40,87.5,0,0,0,England,Balanced,Dry
Pathum Nissanka,Batsman,Batsman,44,46,95.65217391,0,0,0,South Africa,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,36,38,94.73684211,0,0,0,Bangladesh,Spin Friendly,Humid
Pathum Nissanka,Batsman,Batsman,42,49,85.71428571,0,0,0,South Africa,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,95,104,91.34615385,0,0,0,South Africa,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,49,56,87.5,0,0,0,Bangladesh,Batting Friendly,Dry
Pathum Nissanka,Batsman,Batsman,51,54,94.44444444,0,0,0,Australia,Spin Friendly,Humid
Pathum Nissanka,Batsman,Batsman,69,73,94.52054795,0,0,0,Bangladesh,Balanced,Hot
Pathum Nissanka,Batsman,Batsman,40,42,95.23809524,0,0,0,Australia,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,36,40,90,0,0,0,Australia,Balanced,Hot
Pathum Nissanka,Batsman,Batsman,44,52,84.61538462,0,0,0,Australia,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,21,22,95.45454545,0,0,0,Bangladesh,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,27,29,93.10344828,0,0,0,South Africa,Bowling Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,42,49,85.71428571,0,0,0,South Africa,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,45,52,86.53846154,0,0,0,Australia,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,49,57,85.96491228,0,0,0,India,Spin Friendly,Humid
Pathum Nissanka,Batsman,Batsman,42,48,87.5,0,0,0,Australia,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,59,69,85.50724638,0,0,0,Bangladesh,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,61,71,85.91549296,0,0,0,South Africa,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,67,76,88.15789474,0,0,0,England,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,43,48,89.58333333,0,0,0,Pakistan,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,36,38,94.73684211,0,0,0,England,Balanced,Dry
Pathum Nissanka,Batsman,Batsman,34,38,89.47368421,0,0,0,Pakistan,Balanced,Hot
Pathum Nissanka,Batsman,Batsman,31,35,88.57142857,0,0,0,Pakistan,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,54,58,93.10344828,0,0,0,South Africa,Balanced,Humid
Pathum Nissanka,Batsman,Batsman,41,48,85.41666667,0,0,0,Bangladesh,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,60,66,90.90909091,0,0,0,Australia,Balanced,Humid
Pathum Nissanka,Batsman,Batsman,38,43,88.37209302,0,0,0,England,Bowling Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,47,53,88.67924528,0,0,0,India,Spin Friendly,Humid
Pathum Nissanka,Batsman,Batsman,38,40,95,0,0,0,India,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,36,39,92.30769231,0,0,0,South Africa,Bowling Friendly,Hot
Pathum Nissanka,Batsman,Batsman,27,30,90,0,0,0,Australia,Spin Friendly,Humid
Pathum Nissanka,Batsman,Batsman,33,36,91.66666667,0,0,0,Pakistan,Balanced,Humid
Pathum Nissanka,Batsman,Batsman,33,35,94.28571429,0,0,0,South Africa,Spin Friendly,Dry
Pathum Nissanka,Batsman,Batsman,49,56,87.5,0,0,0,Pakistan,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,50,53,94.33962264,0,0,0,Pakistan,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,32,35,91.42857143,0,0,0,South Africa,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,18,21,85.71428571,0,0,0,Australia,Balanced,Hot
Pathum Nissanka,Batsman,Batsman,44,50,88,0,0,0,South Africa,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,40,44,90.90909091,0,0,0,England,Balanced,Humid
Pathum Nissanka,Batsman,Batsman,38,41,92.68292683,0,0,0,England,Bowling Friendly,Hot
Pathum Nissanka,Batsman,Batsman,59,64,92.1875,0,0,0,Bangladesh,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,34,38,89.47368421,0,0,0,South Africa,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,34,36,94.44444444,0,0,0,Australia,Balanced,Dry
Pathum Nissanka,Batsman,Batsman,39,45,86.66666667,0,0,0,Pakistan,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,51,58,87.93103448,0,0,0,South Africa,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,60,69,86.95652174,0,0,0,India,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,19,21,90.47619048,0,0,0,Bangladesh,Batting Friendly,Dry
Pathum Nissanka,Batsman,Batsman,61,66,92.42424242,0,0,0,South Africa,Spin Friendly,Dry
Pathum Nissanka,Batsman,Batsman,22,24,91.66666667,0,0,0,India,Batting Friendly,Dry
Pathum Nissanka,Batsman,Batsman,28,31,90.32258065,0,0,0,Australia,Spin Friendly,Humid
Pathum Nissanka,Batsman,Batsman,35,39,89.74358974,0,0,0,Pakistan,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,43,48,89.58333333,0,0,0,Bangladesh,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,31,33,93.93939394,0,0,0,South Africa,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,69,80,86.25,0,0,0,Bangladesh,Spin Friendly,Dry
Pathum Nissanka,Batsman,Batsman,32,34,94.11764706,0,0,0,Bangladesh,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,36,38,94.73684211,0,0,0,Pakistan,Spin Friendly,Dry
Pathum Nissanka,Batsman,Batsman,50,58,86.20689655,0,0,0,India,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,26,30,86.66666667,0,0,0,South Africa,Bowling Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,17,19,89.47368421,0,0,0,Bangladesh,Balanced,Humid
Pathum Nissanka,Batsman,Batsman,55,63,87.3015873,0,0,0,Bangladesh,Spin Friendly,Dry
Pathum Nissanka,Batsman,Batsman,22,24,91.66666667,0,0,0,India,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,58,66,87.87878788,0,0,0,Bangladesh,Bowling Friendly,Hot
Pathum Nissanka,Batsman,Batsman,16,17,94.11764706,0,0,0,Australia,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,14,15,93.33333333,0,0,0,Pakistan,Balanced,Hot
Pathum Nissanka,Batsman,Batsman,31,35,88.57142857,0,0,0,Australia,Bowling Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,28,31,90.32258065,0,0,0,South Africa,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,53,61,86.8852459,0,0,0,Bangladesh,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,46,54,85.18518519,0,0,0,England,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,35,38,92.10526316,0,0,0,England,Spin Friendly,Cloudy
